1,Thành phố Cần Thơ,1,Quận Ninh Kiều,1,Phường Cái Khế
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,2,Phường An Hòa
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,3,Phường Thới Bình
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,4,Phường An Nghiệp
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,5,Phường An Cư
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,6,Phường Tân An
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,7,Phường An Phú
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,8,Phường Xuân Khánh
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,9,Phường Hưng Lợi
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,10,Phường An Khánh
1,Thành phố Cần Thơ,1,Quận Ninh Kiều,11,Phường An Bình
1,Thành phố Cần Thơ,2,Quận Ô Môn,12,Phường Châu Văn Liêm
1,Thành phố Cần Thơ,2,Quận Ô Môn,13,Phường Thới Hòa
1,Thành phố Cần Thơ,2,Quận Ô Môn,14,Phường Thới Long
1,Thành phố Cần Thơ,2,Quận Ô Môn,15,Phường Long Hưng
1,Thành phố Cần Thơ,2,Quận Ô Môn,16,Phường Thới An
1,Thành phố Cần Thơ,2,Quận Ô Môn,17,Phường Phước Thới
1,Thành phố Cần Thơ,2,Quận Ô Môn,18,Phường Trường Lạc
1,Thành phố Cần Thơ,3,Quận Bình Thuỷ,19,Phường Bình Thủy
1,Thành phố Cần Thơ,3,Quận Bình Thuỷ,20,Phường Trà An
1,Thành phố Cần Thơ,3,Quận Bình Thuỷ,21,Phường Trà Nóc
1,Thành phố Cần Thơ,3,Quận Bình Thuỷ,22,Phường Thới An Đông
1,Thành phố Cần Thơ,3,Quận Bình Thuỷ,23,Phường An Thới
1,Thành phố Cần Thơ,3,Quận Bình Thuỷ,24,Phường Bùi Hữu Nghĩa
1,Thành phố Cần Thơ,3,Quận Bình Thuỷ,25,Phường Long Hòa
1,Thành phố Cần Thơ,3,Quận Bình Thuỷ,26,Phường Long Tuyền
1,Thành phố Cần Thơ,4,Quận Cái Răng,27,Phường Lê Bình
1,Thành phố Cần Thơ,4,Quận Cái Răng,28,Phường Hưng Phú
1,Thành phố Cần Thơ,4,Quận Cái Răng,29,Phường Hưng Thạnh
1,Thành phố Cần Thơ,4,Quận Cái Răng,30,Phường Ba Láng
1,Thành phố Cần Thơ,4,Quận Cái Răng,31,Phường Thường Thạnh
1,Thành phố Cần Thơ,4,Quận Cái Răng,32,Phường Phú Thứ
1,Thành phố Cần Thơ,4,Quận Cái Răng,33,Phường Tân Phú
1,Thành phố Cần Thơ,5,Quận Thốt Nốt,34,Phường Thốt Nốt
1,Thành phố Cần Thơ,5,Quận Thốt Nốt,35,Phường Thới Thuận
1,Thành phố Cần Thơ,5,Quận Thốt Nốt,36,Phường Thuận An
1,Thành phố Cần Thơ,5,Quận Thốt Nốt,37,Phường Tân Lộc
1,Thành phố Cần Thơ,5,Quận Thốt Nốt,38,Phường Trung Nhứt
1,Thành phố Cần Thơ,5,Quận Thốt Nốt,39,Phường Thạnh Hoà
1,Thành phố Cần Thơ,5,Quận Thốt Nốt,40,Phường Trung Kiên
1,Thành phố Cần Thơ,5,Quận Thốt Nốt,41,Phường Tân Hưng
1,Thành phố Cần Thơ,5,Quận Thốt Nốt,42,Phường Thuận Hưng
